#sample	scf_id	pos	depth
s3	s3	1	34
s3	s3	2	45
s3	s3	3	25
s3	s3	4	9
s3	s3	5	48
s3	s3	6	17
s3	s3	7	45
s3	s3	8	31
s3	s3	9	3
s3	s3	10	26
s3	s3	11	16
s3	s3	12	19
s3	s3	13	22
s3	s3	14	30
s3	s3	15	12
s3	s3	16	6
s3	s3	17	14
s3	s3	18	6
s3	s3	19	50
s3	s3	20	25
s3	s3	21	46
s3	s3	22	42
s3	s3	23	32
s3	s3	24	20
s3	s3	25	9
s3	s3	26	45
s3	s3	27	36
s3	s3	28	9
s3	s3	29	29
s3	s3	30	3
s3	s3	31	6
s3	s3	32	31
s3	s3	33	11
s3	s3	34	21
s3	s3	35	38
s3	s3	36	42
s3	s3	37	4
s3	s3	38	6
s3	s3	39	16
s3	s3	40	35
s3	s3	41	46
s3	s3	42	28
s3	s3	43	16
s3	s3	44	46
s3	s3	45	3
s3	s3	46	19
s3	s3	47	43
s3	s3	48	23
s3	s3	49	16
s3	s3	50	4
s3	s3	51	22
s3	s3	52	44
s3	s3	53	7
s3	s3	54	18
s3	s3	55	20
s3	s3	56	25
s3	s3	57	3
s3	s3	58	9
s3	s3	59	21
s3	s3	60	7
s3	s3	61	44
s3	s3	62	11
s3	s3	63	4
s3	s3	64	34
s3	s3	65	3
s3	s3	66	5
s3	s3	67	42
s3	s3	68	31
s3	s3	69	3
s3	s3	70	16
s3	s3	71	13
s3	s3	72	23
s3	s3	73	14
s3	s3	74	16
s3	s3	75	8
s3	s3	76	49
s3	s3	77	24
s3	s3	78	43
s3	s3	79	16
s3	s3	80	42
s3	s3	81	46
s3	s3	82	2
s3	s3	83	48
s3	s3	84	16
s3	s3	85	25
s3	s3	86	10
s3	s3	87	11
s3	s3	88	32
s3	s3	89	41
s3	s3	90	29
s3	s3	91	36
s3	s3	92	44
s3	s3	93	46
s3	s3	94	30
s3	s3	95	10
s3	s3	96	8
s3	s3	97	37
s3	s3	98	15
s3	s3	99	16
s3	s3	100	33
s3	s3	101	10
s3	s3	102	34
s3	s3	103	6
s3	s3	104	13
s3	s3	105	5
s3	s3	106	13
s3	s3	107	35
s3	s3	108	44
s3	s3	109	25
s3	s3	110	41
s3	s3	111	47
s3	s3	112	47
s3	s3	113	39
s3	s3	114	49
s3	s3	115	42
s3	s3	116	32
s3	s3	117	30
s3	s3	118	48
s3	s3	119	49
s3	s3	120	46
s3	s3	121	44
s3	s3	122	25
s3	s3	123	2
s3	s3	124	31
s3	s3	125	29
s3	s3	126	44
s3	s3	127	22
s3	s3	128	10
s3	s3	129	15
s3	s3	130	20
s3	s3	131	14
s3	s3	132	50
s3	s3	133	37
s3	s3	134	47
s3	s3	135	36
s3	s3	136	5
s3	s3	137	4
s3	s3	138	36
s3	s3	139	8
s3	s3	140	11
s3	s3	141	50
s3	s3	142	43
s3	s3	143	43
s3	s3	144	43
s3	s3	145	21
s3	s3	146	50
s3	s3	147	41
s3	s3	148	45
s3	s3	149	44
s3	s3	150	12
s3	s3	151	27
s3	s3	152	16
s3	s3	153	45
s3	s3	154	28
s3	s3	155	43
s3	s3	156	8
s3	s3	157	42
s3	s3	158	39
s3	s3	159	15
s3	s3	160	45
s3	s3	161	4
s3	s3	162	1
